name,state_name,state_abbrev,slug,Median home price,Median rent,Population
Trumansburg,New York,NY,trumansburg,217700,1009,1661
Loving,New Mexico,NM,loving,106100,915,1241
Port St. Lucie,Florida,FL,port-st-lucie,207200,1417,189396
Huntersville,North Carolina,NC,huntersville,301500,1305,55980
Lyndonville,New York,NY,lyndonville,88500,716,864
Belmont,New York,NY,belmont,67600,570,813
Offerman,Georgia,GA,offerman,58500,594,501
Industry,California,CA,industry,441700,950,373
Lancaster,California,CA,lancaster,261400,1215,159028
Owensboro,Kentucky,KY,owensboro,113400,769,59536
Lexington-Fayette,Kentucky,KY,lexington-fayette,189800,896,320601
Irvine,Kentucky,KY,irvine,86500,474,2439
Gardiner,Maine,ME,gardiner,140700,733,5657
Sierra Vista,Arizona,AZ,sierra-vista,172600,938,43398
James Island,South Carolina,SC,james-island,300600,1374,12076
Fort Smith,Arkansas,AR,fort-smith,121800,685,87743
Rainbow City,Alabama,AL,rainbow-city,166100,797,9589
Piedmont,Alabama,AL,piedmont,80500,634,4611
Albertville,Alabama,AL,albertville,120100,671,21541
Seldovia,Alaska,AK,seldovia,223400,675,208
Kwethluk,Alaska,AK,kwethluk,59200,525,613
Lohrville,Wisconsin,WI,lohrville,85000,650,385
Salt Lake City,Utah,UT,salt-lake-city,314500,985,197756
Farmer City,Illinois,IL,farmer-city,112100,950,2185
Prophetstown,Illinois,IL,prophetstown,96300,707,2062
Taylorville,Illinois,IL,taylorville,88900,672,10893
German Valley,Illinois,IL,german-valley,89100,654,553
Oswego,Illinois,IL,oswego,254900,1584,34933
De Kalb,Mississippi,MS,de-kalb,65700,482,1268
Webb,Mississippi,MS,webb,66900,619,434
Preston,Maryland,MD,preston,211000,1018,735
Bantam,Connecticut,CT,bantam,173800,625,660
Riverside,New York,NY,riverside,81400,692,438
Coopersville,Michigan,MI,coopersville,133500,817,4396
Tatamy,Pennsylvania,PA,tatamy,185600,880,1078
Alta,Iowa,IA,alta,111000,744,2039
Schleswig,Iowa,IA,schleswig,81700,445,857
Joice,Iowa,IA,joice,75000,525,249
Kirkville,Iowa,IA,kirkville,52300,906,199
Preston,Kansas,KS,preston,24600,825,163
Oelrichs,South Dakota,SD,oelrichs,64300,525,116
Keystone,South Dakota,SD,keystone,128100,581,427
Beavertown,Pennsylvania,PA,beavertown,125700,822,1077
Modale,Iowa,IA,modale,82200,850,327
Goldsboro,Pennsylvania,PA,goldsboro,164500,1148,1075
Plaucheville,Louisiana,LA,plaucheville,142500,560,217
Belvue,Kansas,KS,belvue,150800,1014,325
Isabel,Kansas,KS,isabel,31700,1075,115
Kincaid,Kansas,KS,kincaid,33500,346,108
Arlington,Nebraska,NE,arlington,170100,921,1513
Conde,South Dakota,SD,conde,42200,383,134
Alicia,Arkansas,AR,alicia,52800,569,140
Finleyville,Pennsylvania,PA,finleyville,129400,734,282
Clear Spring,Maryland,MD,clear-spring,154000,837,479
Taylor,Arkansas,AR,taylor,71200,763,675
Fort Lauderdale,Florida,FL,fort-lauderdale,334000,1293,180124
Gainesville,Florida,FL,gainesville,161900,953,132127
Williamsburg,New Mexico,NM,williamsburg,70900,795,465
Panama City,Florida,FL,panama-city,155800,945,36640
Indian Trail,North Carolina,NC,indian-trail,216100,1411,38822
Troutman,North Carolina,NC,troutman,197600,1056,2685
Union City,Georgia,GA,union-city,132300,967,21396
Stockton,California,CA,stockton,273400,1115,309228
Long Beach,California,CA,long-beach,556100,1324,466776
Fitzgerald,Georgia,GA,fitzgerald,81700,630,8812
Oglethorpe,Georgia,GA,oglethorpe,46700,536,1414
Red Oak,Texas,TX,red-oak,207600,1136,12724
Anson,Texas,TX,anson,68500,723,2140
Merna,Nebraska,NE,merna,75000,821,353
Columbus,Indiana,IN,columbus,166200,951,48150
Marion,Indiana,IN,marion,67800,673,27956
Bedford,Iowa,IA,bedford,61600,586,1513
Webster,Florida,FL,webster,62500,691,726
Paoli,Colorado,CO,paoli,95000,675,83
Penitas,Texas,TX,penitas,124500,774,4769
Edison,Georgia,GA,edison,45300,432,1327
Orfordville,Wisconsin,WI,orfordville,143100,936,1286
Boerne,Texas,TX,boerne,286300,1260,15891
Fairfax,Missouri,MO,fairfax,66200,482,673
Mount Ayr,Indiana,IN,mount-ayr,75800,438,110
Clay City,Indiana,IN,clay-city,67500,605,852
Alsey,Illinois,IL,alsey,47500,683,143
Hampton,New Jersey,NJ,hampton,260500,525,1309
Enfield,North Carolina,NC,enfield,74600,724,2524
Reddick,Illinois,IL,reddick,108100,767,216
Alma,Missouri,MO,alma,93500,1039,467
Fairview,Missouri,MO,fairview,65000,850,424
Shirley,Arkansas,AR,shirley,81000,606,358
Harmony,Minnesota,MN,harmony,116800,658,976
Lakewood Club,Michigan,MI,lakewood-club,96300,806,1212
Burkittsville,Maryland,MD,burkittsville,408000,1281,151
Alden,New York,NY,alden,142900,763,2577
Winooski,Vermont,VT,winooski,225200,1144,7242
Patterson,Ohio,OH,patterson,63800,725,188
Presque Isle,Maine,ME,presque-isle,115400,592,9116
Scottsville,Virginia,VA,scottsville,206800,848,585
Chefornak,Alaska,AK,chefornak,45700,725,483
Faith,South Dakota,SD,faith,87000,294,363
Evansville,Minnesota,MN,evansville,118500,642,608
Interlaken,New Jersey,NJ,interlaken,655500,3050,749
Bee,Nebraska,NE,bee,84600,625,208
Roseland,Nebraska,NE,roseland,83300,675,233
Walker,Iowa,IA,walker,138400,625,831
Ringsted,Iowa,IA,ringsted,33900,525,499
Daisy,Georgia,GA,daisy,156300,627,245
Oriskany,New York,NY,oriskany,113300,858,1229
New Holland,Ohio,OH,new-holland,88300,633,783
Essexville,Michigan,MI,essexville,92400,936,3325
Winslow,Illinois,IL,winslow,72500,613,350
Arenzville,Illinois,IL,arenzville,93700,575,465
Whittemore,Michigan,MI,whittemore,50300,425,432
Lu Verne,Iowa,IA,lu-verne,35300,657,296
Fromberg,Montana,MT,fromberg,120800,796,418
Powellsville,North Carolina,NC,powellsville,86000,625,175
Seaboard,North Carolina,NC,seaboard,64800,780,723
Charleroi,Pennsylvania,PA,charleroi,39500,688,3953
Mill Village,Pennsylvania,PA,mill-village,104900,850,371
Saulsbury,Tennessee,TN,saulsbury,62400,615,108
Dunfermline,Illinois,IL,dunfermline,77900,713,303
Galeton,Pennsylvania,PA,galeton,72900,642,942
Pleasantville,Pennsylvania,PA,pleasantville,101600,745,125
Town of Pines,Indiana,IN,town-of-pines,100400,705,717
Holland,Texas,TX,holland,93300,821,1581
Floyd,Iowa,IA,floyd,83800,513,335
Dumont,Iowa,IA,dumont,57500,618,601
Plummer,Idaho,ID,plummer,110100,797,1105
Cedar Point,Illinois,IL,cedar-point,79300,781,247
Centerville,Minnesota,MN,centerville,263500,1163,3985
Boone,Colorado,CO,boone,64200,575,233
Hickory Ridge,Arkansas,AR,hickory-ridge,47600,458,232
Brisbin,Pennsylvania,PA,brisbin,92800,800,358
Happy,Texas,TX,happy,70900,802,697
Wyndmere,North Dakota,ND,wyndmere,89000,708,455
Bonnie,Illinois,IL,bonnie,62200,788,384
Freer,Texas,TX,freer,52900,590,2686
Farmington,Iowa,IA,farmington,48600,573,675
Fontana,Kansas,KS,fontana,90800,938,320
Wapanucka,Oklahoma,OK,wapanucka,56000,675,426
Readstown,Wisconsin,WI,readstown,73600,525,435
Orangeville,Ohio,OH,orangeville,113200,756,180
Hartsburg,Illinois,IL,hartsburg,80700,681,264
Houston,Delaware,DE,houston,166900,1188,452
Orrstown,Pennsylvania,PA,orrstown,133900,1000,250
Kempton,Indiana,IN,kempton,67600,842,343
Burtrum,Minnesota,MN,burtrum,67500,613,103
North Middletown,Kentucky,KY,north-middletown,85400,860,657
Leedey,Oklahoma,OK,leedey,88600,803,567
Ipswich,South Dakota,SD,ipswich,94800,565,1008
Edgeworth,Pennsylvania,PA,edgeworth,603100,1241,1586
Brooksburg,Indiana,IN,brooksburg,92500,1014,113
Patriot,Indiana,IN,patriot,72200,803,527
Winter,Wisconsin,WI,winter,71500,822,335
Hornick,Iowa,IA,hornick,71100,575,255
Doral,Florida,FL,doral,394900,1991,59972
Callaway,Florida,FL,callaway,148400,965,14958
East New Market,Maryland,MD,east-new-market,145500,763,457
Arcade,New York,NY,arcade,114500,560,2170
Champlin,Minnesota,MN,champlin,237800,1227,24755
Mantorville,Minnesota,MN,mantorville,177300,764,1015
Willow River,Minnesota,MN,willow-river,123500,740,457
Clinton,Utah,UT,clinton,243400,1348,21890
Caldwell,Ohio,OH,caldwell,87300,635,2334
Monroeville,Ohio,OH,monroeville,100600,806,1318
Jasper,Georgia,GA,jasper,184300,761,3850
Montour,Iowa,IA,montour,74400,920,254
West Union,Iowa,IA,west-union,100400,538,2545
Northfield,Kentucky,KY,northfield,391700,1154,1181
Woodlawn,Illinois,IL,woodlawn,83900,625,643
Oakland,Illinois,IL,oakland,73500,669,962
Dover,North Carolina,NC,dover,76500,713,240
Forest Acres,South Carolina,SC,forest-acres,193700,959,10412
Laura,Ohio,OH,laura,90800,690,552
Fultonham,Ohio,OH,fultonham,84000,620,202
Melville,Louisiana,LA,melville,71800,390,1164
Little Elm,Texas,TX,little-elm,255200,1660,45967
Bellaire,Texas,TX,bellaire,842700,1952,18815
Helena,Oklahoma,OK,helena,73600,625,1423
Sioux Falls,South Dakota,SD,sioux-falls,189800,827,177117
Centertown,Tennessee,TN,centertown,89700,606,341
Truesdale,Missouri,MO,truesdale,93600,817,735
Hustisford,Wisconsin,WI,hustisford,147100,787,1064
Kearny,Arizona,AZ,kearny,92200,977,2250
Reynolds,Nebraska,NE,reynolds,37500,620,63
Roca,Nebraska,NE,roca,144400,975,181
Wolcottville,Indiana,IN,wolcottville,76000,739,974
Grand River,Ohio,OH,grand-river,122600,950,432
Bedford Heights,Ohio,OH,bedford-heights,102600,826,10565
Linneus,Missouri,MO,linneus,58300,285,252
Poulan,Georgia,GA,poulan,68600,803,765
Exeland,Wisconsin,WI,exeland,75800,608,168
Terry,Mississippi,MS,terry,151800,809,1286
Woodville,Mississippi,MS,woodville,92200,586,1064
Camden Point,Missouri,MO,camden-point,162500,1150,491
St. Paul,Indiana,IN,st-paul,82700,794,1013
La Fontaine,Indiana,IN,la-fontaine,77300,562,992
Paris,Idaho,ID,paris,151400,825,629
Abbeville,Georgia,GA,abbeville,34900,322,2793
Young Harris,Georgia,GA,young-harris,151900,732,1029
Lynnville,Tennessee,TN,lynnville,89500,763,310
Windsor,Illinois,IL,windsor,84800,516,800
Uniontown,Alabama,AL,uniontown,60400,492,1880
Cedar Grove,Wisconsin,WI,cedar-grove,162000,757,2103
Marshallville,Georgia,GA,marshallville,67900,442,1273
Buckland,Ohio,OH,buckland,84400,969,321
Daggett,Michigan,MI,daggett,84700,606,190
Rienzi,Mississippi,MS,rienzi,85800,667,276
Morristown,New York,NY,morristown,98500,933,306
Gauley Bridge,West Virginia,WV,gauley-bridge,65800,665,858
Lawrenceville,Virginia,VA,lawrenceville,97000,661,1557
Rosepine,Louisiana,LA,rosepine,132400,814,1846
Virgilina,Virginia,VA,virgilina,89300,775,91
Colmar Manor,Maryland,MD,colmar-manor,229500,1560,1191
Grady,Arkansas,AR,grady,57300,604,305
Toxey,Alabama,AL,toxey,75700,675,109
Arbyrd,Missouri,MO,arbyrd,37500,518,444
Ghent,Minnesota,MN,ghent,126100,613,407
Wood River,Nebraska,NE,wood-river,102800,759,1420
Funk,Nebraska,NE,funk,85000,691,192
Readlyn,Iowa,IA,readlyn,130400,522,780
Kappa,Illinois,IL,kappa,135900,575,215
Kingsport,Tennessee,TN,kingsport,145800,655,53376
Pennington,Alabama,AL,pennington,48300,680,321
Waverly,Alabama,AL,waverly,159100,829,179
Geiger,Alabama,AL,geiger,65600,673,239
Orleans,Nebraska,NE,orleans,57300,424,442
Truxton,Missouri,MO,truxton,77900,883,141
Plains,Montana,MT,plains,136800,663,1049
Eatonton,Georgia,GA,eatonton,76200,518,6603
Lansing,Michigan,MI,lansing,83500,819,117159
Winchester,Virginia,VA,winchester,244900,1054,27897
Bolckow,Missouri,MO,bolckow,37800,386,193
Hornersville,Missouri,MO,hornersville,57100,439,562
Village of the Branch,New York,NY,village-of-the-branch,566100,1774,1549
Mansfield,Washington,WA,mansfield,130800,675,343
Gillette,Wyoming,WY,gillette,216400,898,32857
Houston Acres,Kentucky,KY,houston-acres,182900,1302,539
Dixon,Wyoming,WY,dixon,106300,1396,91
Jasper,Minnesota,MN,jasper,56700,760,672
Tracy,Minnesota,MN,tracy,75600,614,2323
Prescott Valley,Arizona,AZ,prescott-valley,228700,992,44311
Casa Grande,Arizona,AZ,casa-grande,150400,957,55653
Bentonville,Arkansas,AR,bentonville,232600,955,49467
Montgomery,Alabama,AL,montgomery,121200,881,199783
Hobson City,Alabama,AL,hobson-city,91400,716,755
South Coffeyville,Oklahoma,OK,south-coffeyville,70500,671,816
Montreal,Wisconsin,WI,montreal,77000,555,756
Stevens Point,Wisconsin,WI,stevens-point,140100,737,26229
Orderville,Utah,UT,orderville,163000,828,741
Dixmoor,Illinois,IL,dixmoor,61200,1004,3604
Groveland,Florida,FL,groveland,199100,1387,13672
Peetz,Colorado,CO,peetz,92500,675,168
Kensington,Maryland,MD,kensington,712500,1592,2098
North Syracuse,New York,NY,north-syracuse,114500,856,6767
Bucoda,Washington,WA,bucoda,150700,872,668
Newark,Ohio,OH,newark,123100,776,49470
Pepper Pike,Ohio,OH,pepper-pike,440600,1737,6269
Burgoon,Ohio,OH,burgoon,83500,638,223
Wales,Wisconsin,WI,wales,292800,1014,2581
Pigeon Falls,Wisconsin,WI,pigeon-falls,128400,690,388
Oslo,Minnesota,MN,oslo,96300,491,259
Daviston,Alabama,AL,daviston,84200,658,214
Arapahoe,Nebraska,NE,arapahoe,83100,692,1333
Jameson,Missouri,MO,jameson,36700,650,95
Meigs,Georgia,GA,meigs,63200,484,1085
Trenton,Michigan,MI,trenton,150800,771,18295
Savona,New York,NY,savona,81600,683,748
Tehama,California,CA,tehama,167000,794,481
Gasconade,Missouri,MO,gasconade,48700,925,334
Deepwater,Missouri,MO,deepwater,42100,519,412
Gideon,Missouri,MO,gideon,45900,760,935
Lima,New York,NY,lima,146200,645,2278
Rockford,Washington,WA,rockford,153100,783,405
Alpha,Illinois,IL,alpha,86400,732,578
Latham,Illinois,IL,latham,91300,488,409
Marion,North Dakota,ND,marion,63800,625,141
Maddock,North Dakota,ND,maddock,79500,494,384
Armada,Michigan,MI,armada,163100,808,1799
Jewett City,Connecticut,CT,jewett-city,158600,997,3385
Pantego,North Carolina,NC,pantego,129200,663,201
Manor,Pennsylvania,PA,manor,171800,1144,3318
Rome,Pennsylvania,PA,rome,85000,878,484
Elba,New York,NY,elba,117600,790,649
Monterey,Indiana,IN,monterey,82500,792,350
Ackerly,Texas,TX,ackerly,63800,600,214
Maringouin,Louisiana,LA,maringouin,70200,444,985
La Rue,Ohio,OH,la-rue,72600,661,675
Elizabeth,Indiana,IN,elizabeth,97500,775,156
Palisades,Texas,TX,palisades,146100,1125,346
Morley,Michigan,MI,morley,79500,682,529
Fruithurst,Alabama,AL,fruithurst,71500,719,247
Hartford,Iowa,IA,hartford,103700,1117,775
Hecker,Illinois,IL,hecker,127300,608,561
Stites,Idaho,ID,stites,89000,681,214
Albright,West Virginia,WV,albright,52500,650,333
Mendota,Minnesota,MN,mendota,231300,875,157
Teachey,North Carolina,NC,teachey,141700,754,484
Clyde,New York,NY,clyde,68100,733,2075
Laurel,Indiana,IN,laurel,58100,663,794
What Cheer,Iowa,IA,what-cheer,35600,750,756
Shiloh,New Jersey,NJ,shiloh,159100,880,399
Grand Tower,Illinois,IL,grand-tower,36700,618,565
South New Castle,Pennsylvania,PA,south-new-castle,71300,692,777
Sylvania,Pennsylvania,PA,sylvania,124000,650,205
Henderson,Iowa,IA,henderson,71600,769,272
Lane,South Carolina,SC,lane,45800,723,467
Woodland Hills,Kentucky,KY,woodland-hills,178400,1357,634
Jordan,New York,NY,jordan,99600,630,1451
Hilltop,Minnesota,MN,hilltop,18800,768,1049
Plains,Kansas,KS,plains,87400,640,1161
Ruby,South Carolina,SC,ruby,104900,860,361
Shoreham,New York,NY,shoreham,527100,2750,447
Covington,Oklahoma,OK,covington,61000,718,532
Sharpsburg,Iowa,IA,sharpsburg,37500,741,123
Arispe,Iowa,IA,arispe,48100,950,124
Milford,New York,NY,milford,114400,630,348
Frankfort Springs,Pennsylvania,PA,frankfort-springs,122500,1281,178
Hayward,Minnesota,MN,hayward,76800,310,218
Finlayson,Minnesota,MN,finlayson,118800,568,321
Mellette,South Dakota,SD,mellette,66900,785,192
Ghent,Kentucky,KY,ghent,76200,763,407
Garwin,Iowa,IA,garwin,72200,667,530
Glen Elder,Kansas,KS,glen-elder,70300,431,438
Meadowlands,Minnesota,MN,meadowlands,48300,588,136
Verdigre,Nebraska,NE,verdigre,63300,630,555
Downs,Kansas,KS,downs,81900,420,752
Forsan,Texas,TX,forsan,72500,408,169
Tulare,South Dakota,SD,tulare,62500,775,241
Hayes Center,Nebraska,NE,hayes-center,66000,413,288
Carroll,Nebraska,NE,carroll,59100,785,237
Prairie Farm,Wisconsin,WI,prairie-farm,87800,594,466
Ehrenfeld,Pennsylvania,PA,ehrenfeld,58900,669,172
Frankford,Missouri,MO,frankford,78300,450,406
New Hampton,Missouri,MO,new-hampton,38300,513,280
Newark Valley,New York,NY,newark-valley,100500,642,987
Minneola,Florida,FL,minneola,219200,1480,11559
Fort Myers,Florida,FL,fort-myers,238700,1033,79927
Bowling Green,Florida,FL,bowling-green,54900,688,2893
Walkertown,North Carolina,NC,walkertown,137700,756,5099
Rouses Point,New York,NY,rouses-point,141800,604,2319
Leland,North Carolina,NC,leland,243200,1173,20294
Palmdale,California,CA,palmdale,280000,1319,156293
Blakely,Georgia,GA,blakely,91000,760,4652
Corona,California,CA,corona,467000,1641,166972
Amador City,California,CA,amador-city,436400,850,167
Lovell,Wyoming,WY,lovell,150100,706,2237
Langdon Place,Kentucky,KY,langdon-place,232300,957,807
Hagerstown,Maryland,MD,hagerstown,155700,832,40152
Washington Grove,Maryland,MD,washington-grove,446400,1750,694
Adrian,Minnesota,MN,adrian,100000,543,1178
Alturas,California,CA,alturas,91800,741,2567
Fairhope,Alabama,AL,fairhope,299200,1196,21083
Carolina Beach,North Carolina,NC,carolina-beach,353100,1153,6265
Akiak,Alaska,AK,akiak,52500,950,381
Aleknagik,Alaska,AK,aleknagik,208300,1125,179
Wausau,Wisconsin,WI,wausau,121900,708,38735
Silsbee,Texas,TX,silsbee,107700,802,6634
Lewisville,Texas,TX,lewisville,209000,1210,106386
Chicago,Illinois,IL,chicago,258000,1112,2709534
O'Fallon,Illinois,IL,o-fallon,207900,1066,29333
Ohio,Illinois,IL,ohio,80900,625,529
Parma,Missouri,MO,parma,50000,816,608
Gillham,Arkansas,AR,gillham,50400,636,293
Brackettville,Texas,TX,brackettville,57400,371,1674
Clarendon,Texas,TX,clarendon,65200,600,1842
Winside,Nebraska,NE,winside,72000,605,574
Dongola,Illinois,IL,dongola,73500,566,837
Gosport,Indiana,IN,gosport,79100,656,834
Sugar City,Colorado,CO,sugar-city,58300,763,519
Pleasant Hill,Ohio,OH,pleasant-hill,118400,602,1291
Grays Prairie,Texas,TX,grays-prairie,163500,1125,292
Newton,Mississippi,MS,newton,74500,670,3220
Modoc,Indiana,IN,modoc,52500,883,190
Raymond,Iowa,IA,raymond,182100,486,691
Eden,Idaho,ID,eden,89100,650,373
Pleasant City,Ohio,OH,pleasant-city,66700,700,404
Bradshaw,Nebraska,NE,bradshaw,77200,625,331
Kevin,Montana,MT,kevin,57900,433,139
Shiocton,Wisconsin,WI,shiocton,130800,682,854
Timberlake,Ohio,OH,timberlake,161000,981,736
Woden,Iowa,IA,woden,47100,525,198
Sandoval,Illinois,IL,sandoval,48400,549,1207
Bismarck,North Dakota,ND,bismarck,245300,867,72777
Rochester,Ohio,OH,rochester,120300,1075,168
Leonard,North Dakota,ND,leonard,135100,617,286
Gaastra,Michigan,MI,gaastra,49000,950,323
Defiance,Iowa,IA,defiance,77500,550,204
Plain Dealing,Louisiana,LA,plain-dealing,86900,697,958
Parkton,North Carolina,NC,parkton,110700,675,443
Wellsboro,Pennsylvania,PA,wellsboro,157500,705,3256
Parkside,Pennsylvania,PA,parkside,142800,1063,2227
New Berlin,Pennsylvania,PA,new-berlin,140400,972,879
East Gillespie,Illinois,IL,east-gillespie,115000,820,231
Stamford,Texas,TX,stamford,56300,641,2919
Throop,Pennsylvania,PA,throop,110400,801,3937
Homer,Illinois,IL,homer,103800,748,1265
Ogdensburg,New Jersey,NJ,ogdensburg,223400,1440,2317
Luckey,Ohio,OH,luckey,127000,719,946
Panhandle,Texas,TX,panhandle,133800,806,2649
Ward,South Carolina,SC,ward,115400,660,167
Cowden,Illinois,IL,cowden,62700,764,525
Huttig,Arkansas,AR,huttig,38000,517,721
Audubon Park,Kentucky,KY,audubon-park,260200,910,1298
Turkey Creek,Louisiana,LA,turkey-creek,73500,571,458
Vaughn,New Mexico,NM,vaughn,46700,375,300
New Canton,Illinois,IL,new-canton,55600,495,328
Waterloo,Alabama,AL,waterloo,57500,650,140
Mellott,Indiana,IN,mellott,77500,585,140
Saline,Louisiana,LA,saline,66000,558,482
Bushnell,South Dakota,SD,bushnell,63600,338,54
Vermilion,Illinois,IL,vermilion,54400,1063,231
Westfield,Iowa,IA,westfield,78300,536,130
Druid Hills,Kentucky,KY,druid-hills,370000,1196,291
Aspinwall,Pennsylvania,PA,aspinwall,286400,1051,2724
Clarkston,Utah,UT,clarkston,159900,917,666
Wright City,Oklahoma,OK,wright-city,51500,458,727
Waymart,Pennsylvania,PA,waymart,145900,729,1304
Jonesville,Indiana,IN,jonesville,86900,1028,247
Arnoldsville,Georgia,GA,arnoldsville,116700,558,398
Upton,Kentucky,KY,upton,96300,691,700
Thomas,Oklahoma,OK,thomas,102000,586,1213
Peoria,Oklahoma,OK,peoria,67500,600,108
Copemish,Michigan,MI,copemish,85600,950,143
Vera Cruz,Indiana,IN,vera-cruz,75000,606,97
Kennedy,Minnesota,MN,kennedy,48300,669,215
Snook,Texas,TX,snook,133000,833,495
Everetts,North Carolina,NC,everetts,78000,909,99
Walkerville,Michigan,MI,walkerville,55000,650,224
Optima,Oklahoma,OK,optima,60900,681,413
Martelle,Iowa,IA,martelle,108800,650,232
Pangburn,Arkansas,AR,pangburn,82400,638,543
Wrightstown,New Jersey,NJ,wrightstown,150000,946,701
Lake Dallas,Texas,TX,lake-dallas,166100,1133,8016
Brusly,Louisiana,LA,brusly,218400,760,2741
McIntyre,Georgia,GA,mcintyre,56800,664,698
Varna,Illinois,IL,varna,85000,775,392
Stonefort,Illinois,IL,stonefort,65400,693,316
Flat Rock,Illinois,IL,flat-rock,55300,688,378
Adell,Wisconsin,WI,adell,139500,630,602
Bennet,Nebraska,NE,bennet,156300,909,1103
Deer Park,Maryland,MD,deer-park,97000,817,429
Cinco Bayou,Florida,FL,cinco-bayou,235700,1105,501
Bon Air,Alabama,AL,bon-air,67500,617,87
Harris,Minnesota,MN,harris,199800,267,1065
Renova,Mississippi,MS,renova,83600,426,868
Port Leyden,New York,NY,port-leyden,93300,747,617
Mount Vernon,Illinois,IL,mount-vernon,78600,714,14742
Hoffman,Illinois,IL,hoffman,88800,783,470
Norlina,North Carolina,NC,norlina,67700,601,1115
Florence,South Carolina,SC,florence,158600,780,38487
Moline,Illinois,IL,moline,119500,770,41920
McGuffey,Ohio,OH,mcguffey,60500,638,485
Sugar Grove,Ohio,OH,sugar-grove,105200,1263,370
Castalia,Ohio,OH,castalia,148100,750,953
Waynesfield,Ohio,OH,waynesfield,84100,786,654
Gallatin,Tennessee,TN,gallatin,222800,962,38156
Simpson,Louisiana,LA,simpson,125000,606,531
San Angelo,Texas,TX,san-angelo,138000,884,100031
Stinnett,Texas,TX,stinnett,70300,675,1403
Hillsboro Beach,Florida,FL,hillsboro-beach,417900,1986,1752
Cheyenne Wells,Colorado,CO,cheyenne-wells,125500,467,990
Wake Forest,North Carolina,NC,wake-forest,297300,1117,42111
Hughesville,Missouri,MO,hughesville,85700,930,203
Beedeville,Arkansas,AR,beedeville,31000,375,100
Leslie,Arkansas,AR,leslie,68600,464,581
Sturtevant,Wisconsin,WI,sturtevant,160200,864,6606
Elmwood,Nebraska,NE,elmwood,125800,758,720
Arnold,Nebraska,NE,arnold,82100,575,802
Veedersburg,Indiana,IN,veedersburg,75000,657,2091
Akron,Iowa,IA,akron,107400,621,1588
Missouri Valley,Iowa,IA,missouri-valley,92000,783,2640
Stinesville,Indiana,IN,stinesville,75000,290,213
Vilas,Colorado,CO,vilas,64600,367,98
Surrency,Georgia,GA,surrency,63300,633,336
Green Isle,Minnesota,MN,green-isle,139900,879,617
Gentryville,Indiana,IN,gentryville,50800,810,295
Spring Lake,Indiana,IN,spring-lake,131700,933,214
Clifford,Indiana,IN,clifford,74500,871,276
Jersey,Georgia,GA,jersey,162500,910,75
Garysburg,North Carolina,NC,garysburg,74000,844,880
Medon,Tennessee,TN,medon,100800,438,279
Sacramento,Kentucky,KY,sacramento,71000,589,463
Gibson,North Carolina,NC,gibson,65000,547,471
Sale City,Georgia,GA,sale-city,73000,711,439
Brunswick,Nebraska,NE,brunswick,78300,596,220
Pleasant Dale,Nebraska,NE,pleasant-dale,135900,677,260
Alger,Ohio,OH,alger,53900,543,906
Kelliher,Minnesota,MN,kelliher,87000,556,291
Lewisburg,Kentucky,KY,lewisburg,80700,525,756
Dodge,Nebraska,NE,dodge,77000,733,550
Cadiz,Indiana,IN,cadiz,74700,569,222
Sebeka,Minnesota,MN,sebeka,67300,703,778
Evan,Minnesota,MN,evan,44200,675,77
